title,start_date,end_date,status,dropped_episode,other
銀魂,
ワンピース,
ドラゴンボール,
ドラえもん,
ゲゲゲの鬼太郎,
ReLIFE,2018/4
Steins;Gate,
Steins;Gate 0,
プラネテス,
メイドインアビス,
恋は雨上がりのように,
化物語,
偽物語,
物語シリーズセカンドシーズン,
終物語,
(fate stay night),
マギ,
やはり俺の青春ラブコメはまちがっている。,
七つの大罪,
シンドバッドの冒険,2019/4
魔法少女まどか☆マギカ,
Re:ゼロから始める異世界生活,
宇宙よりも遠い場所,
ワンパンマン,
鬼滅の刃,
五等分の花嫁,
幼女戦記,
約束のネバーランド,
ダンジョンに出会いを求めるのは間違っているだろうか,
ソードオラトリア ダンまち外伝,
女子高生の無駄遣い,
OVER LOAD,2019/8
この素晴らしい世界に祝福を！,
異世界かるてっと,
甲鉄城のカバネリ,
かぐや様は告らせたい,
冴えない彼女の作り方,
（僕のヒーローアカデミア）,
涼宮ハルヒの憂鬱,
東のエデン,
SHIROBAKO,
あの日見た花の名前を僕達はまだ知らない。,
盾の勇者の成り上がり,19/11/1,,complete,,
キルラキル,19/11/11,,complete,,
fate/zero,19/11/17,,complete,,
fate stay night unlimited blade works,19/11/24,,complete,,
青春ブタ野郎はバニーガール先輩の夢を見ない,19/12/3,,complete,,
ノーゲーム・ノーライフ,19/12/8,,complete,,
コードギアス 反逆のルルーシュ,19/12/11,,complete,,
コードギアス 反逆のルルーシュ R2,19/12/16,,complete,,
(カウボーイビバップ),19/12/22,,complete,,
コードギアス 反逆のルルーシュ I 興道,19/12/23,,complete,,
コードギアス 反逆のルルーシュ II 叛道,19/12/25,,complete,,
コードギアス 反逆のルルーシュ III 皇道,19/12/29,,complete,,
コードギアス 亡国のアキト,19/12/31,,complete,,
鋼の錬金術師 full metal alchemist,20/1/5,,complete,,
劇場版魔法少女まどか☆マギカ,20/1/19,,complete,,
メイドインアビス 深き魂の黎明,20/1/19,20/1/19,complete,,
マギアレコード 魔法少女まどか☆マギカ外伝,20/1/23,,complete,,
異世界かるてっと2,20/1/22,,complete,,
メイドインアビス 深き魂の黎明,20/1/24,20/1/24,complete,,
ソウナンですか？,20/1/24,,complete,,
ゆるキャン△,20/1/26,,complete,,
氷菓,20/1/29,,complete,,
メイドインアビス 深き魂の黎明,20/1/31,20/1/31,complete,,
Dr. STONE,20/2/3,,complete,,
ダンベル何キロ持てる？,20/2/11,,complete,,
魔法科高校の劣等生,20/2/15,,complete,,
七つの大罪 神々の逆鱗,20/2/22,,complete,,
劇場版 SHIROBAKO,20/2/26,20/2/26,complete,,
ギルティクラウン,20/3/1,,complete,,
プリンセス・プリンシパル,20/3/11,,complete,,
devilman crybaby,20/3/15,,complete,,
ヴァイオレットエヴァーガーデン,20/3/18,,complete,,
聲の形,20/3/24,,complete,,
ダーリンインザフランキス,20/3/25,,complete,,
7seeds（1期・2期）,20/4/3,,complete,,
痛いのは嫌なので防御力に極振りしたいと思います。,20/4/10,,complete,,
俺を好きなのはお前だけかよ,20/4/13,,complete,,
ゴールデンカムイ,20/4/17,,complete,,
ゴールデンカムイ2期,20/4/21,,complete,,
東京喰種,20/4/25,,complete,,
東京喰種√a,20/4/28,,complete,,
東京喰種:re,20/5/2,20/5/18,complete,,
転生したらスライムだった件,20/5/5,20/5/10,complete,,
ソードアートオンライン,20/5/19,,complete,,
生徒会役員共,20/5/27,,complete,,
生徒会役員共＊,20/6/3,,complete,,
どろろ,20/6/8,,complete,,
へやキャン△,20/6/13,,complete,,
GATE 自衛隊彼の地にて、斯く戦えり,20/6/15,,complete,,
乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった...,20/6/20,,complete,,
かぐや様は告らせたい ～天才たちの恋愛頭脳戦～ 2期,20/6/23,,complete,,
イエスタデイを歌って,20/6/26,,complete,,
かくしごと,20/6/28,,complete,,
境界の彼方,20/7/3,,complete,,
Charlotte,20/7/5,,complete,,
劇場版 境界の彼方 過去編,20/7/7,20/7/7,complete,,
劇場版 境界の彼方 未来編,20/7/7,20/7/7,complete,,
劇場版生徒会役員共,20/7/8,,complete,,
DEATH NOTE,20/7/9,20/7/27,complete,,
生徒会役員共　OVA,20/7/10,20/7/10,complete,,
俺の妹がこんなに可愛いわけない,20/7/15,20/7/21,complete,,
凪のあすから,20/7/22,20/7/31,complete,,
ガールズ＆パンツァー,20/7/31,20/8/4,complete,,
Fate Heaven’s feel I,20/8/1,20/8/2,complete,,
ガールズ＆パンツァーOVA これがホントのアンツィオ戦です！,20/8/5,20/8/5,complete,,
泣きたい私は猫をかぶる,20/8/5,20/8/5,complete,,
日本沈没2020,20/8/5,20/8/7,complete,,
Fate Heaven’s feel II,20/8/8,20/8/9,complete,,
